,batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,region,cloud_provider,cloud_region,cpu_count,gpu_count,longitude,latitude,ram_total_size,rep_no,macs,forward_passes
359,439,3943598,34.77106269200643,0.0011411396250168334,0.032818597559295434,76.59141263921123,29.75766666666667,288.75,0.00012308354885254998,4.794176329365001e-05,0.0004608349453381778,0.0006318602574844056,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,6.0
360,299,441220,30.141887187957764,0.0012371155848140668,0.04104989387005067,76.85777397259696,29.635666666666665,288.75,4.832468208718548e-06,1.8038524827046406e-06,2.3225882347275842e-05,2.986220303869976e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,137.66666666666666
361,14,4997864,30.07587130864461,0.0013544201040745667,0.0450334506554216,76.55438013943791,29.842,288.75,2.728965306076494e-06,1.0319498929136455e-06,1.4859532099844007e-05,1.86204472988347e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,241.66666666666666
362,48,2717555,30.185635884602863,0.0012368528473487,0.040986278160472005,75.50581700233278,29.77333333333333,288.75,5.193049508288269e-06,1.964811986344761e-06,2.510527406928815e-05,3.22631355639217e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,127.33333333333333
363,429,3633576,30.743692874908447,0.0012500014707947,0.0407443128611995,50.637141008141505,30.194666666666667,288.75,0.00010052724404826667,4.9654121887327775e-05,0.0005419567685022333,0.0006921381344378334,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,6.0
364,300,4252733,30.488460143407185,0.0011189474076184667,0.036746837796471664,49.399531314255206,29.83566666666667,288.75,8.542473668628572e-05,4.2054461489657145e-05,0.00040358269438146665,0.0005310618925574333,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
365,493,2882809,33.65051237742106,0.0011041470332131666,0.0328121513608044,76.5027114912824,29.525000000000002,288.75,0.00010208425328108571,3.966649120594285e-05,0.0003822867653436095,0.0005240375098306524,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
366,408,1359927,30.35271755854289,0.0012357470148184,0.0407423969974304,51.227393121423994,30.036333333333335,288.75,3.123856545070542e-05,1.5901743822636526e-05,0.00017681139121728735,0.0002239517004906325,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,20.666666666666668
367,383,3530023,31.317082405090332,0.0010274209174512667,0.032806940218426,75.81177452124895,30.053,288.75,9.515864341520477e-05,3.705293575413809e-05,0.0003554110679361477,0.00048762264710551425,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
368,470,2609445,32.92766825358073,0.001080147981912,0.032803660895525465,76.47483579692106,29.677333333333337,288.75,8.75918365548875e-05,3.3857080514425e-05,0.0003271175206017917,0.0004485664376711208,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,8.0
369,394,4687267,31.391112248102825,0.0010304205998631333,0.0328253680866954,75.46710955602552,29.82166666666667,288.75,0.00013385749256738,5.178715667355333e-05,0.00049902020116646,0.00068466485040742,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,5.0
370,75,1850759,30.223291476567585,0.0011190509372678333,0.03703308024454923,76.76271812926045,29.622000000000003,288.75,5.570294054704986e-06,2.09268897667989e-06,2.3501308557692517e-05,3.116429158907823e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,119.33333333333333
371,416,2411392,31.32454053560893,0.0011476908004045,0.03677386909447294,50.657035415638916,29.56833333333333,288.75,6.608863544801962e-05,3.219658865964037e-05,0.0003119771173577922,0.00041026234146546294,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.333333333333334
372,85,1989325,30.21156891187032,0.0011192447214975335,0.03705675819255353,76.49470408269367,29.918666666666667,288.75,6.814847848887755e-06,2.5479422334312926e-06,2.858028136311973e-05,3.7943071445439794e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,98.0
373,244,448242,30.106061855951946,0.0013573058916684668,0.04508417225382003,78.42578759782228,29.55633333333333,288.75,4.008315950452054e-06,1.4816569325491933e-06,2.151387146486728e-05,2.7003844347869128e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,167.0
