batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes,test
193,1932481,30.716870228449505,0.0009822375821148667,0.031977124342105596,74.97268908161313,30.444000000000003,288.75,1.5654128040455283e-05,6.299308321081301e-06,5.763797293389268e-05,7.95914092954309e-05,2.0,1.0,770.0,2.0,372968833.0,41.0,1.0
354,451307,30.30588448047638,0.0010049100046938,0.03315724374273585,74.84778907050833,30.645000000000003,288.75,6.669882919234736e-06,2.6940231062526315e-06,2.5778951281517368e-05,3.514285730700632e-05,2.0,1.0,770.0,2.0,159762678.0,95.0,1.0
42,2868130,30.204654852549236,0.0010233071185202333,0.03387704963965907,74.5518358370547,30.669,288.75,5.020400362318968e-06,2.0407788073084868e-06,1.9990068932925736e-05,2.7051248102553986e-05,2.0,1.0,770.0,2.0,120461460.0,125.66666666666667,1.0
407,4619044,32.18335747718811,0.0010218176066645334,0.0317469350766939,74.83927784194509,30.436666666666667,288.75,7.484213196213333e-05,3.0242986623348148e-05,0.0002721085346683259,0.0003771936532538185,2.0,1.0,770.0,2.0,1879950908.0,9.0,1.0
314,866143,30.09846591949463,0.0009626520827403,0.0319833578454978,75.26042120738839,30.495333333333335,288.75,1.1441425469630305e-05,4.641975929758182e-06,4.206531999839576e-05,5.814872139778667e-05,2.0,1.0,770.0,2.0,271968902.0,55.0,1.0
401,4591984,31.730655590693157,0.001006711364393,0.03172593927384623,74.78879923523837,30.656333333333333,288.75,7.382506261966667e-05,2.9860315220374073e-05,0.0002679319585914926,0.0003716173364315481,2.0,1.0,770.0,2.0,1841385584.0,9.0,1.0
181,4773418,31.062114636103313,0.0009902690974492334,0.03188067391708043,74.23943739495722,30.389666666666667,288.75,3.607052361462408e-05,1.4604250975612964e-05,0.00013209914520474815,0.00018277391979499075,2.0,1.0,770.0,2.0,863988658.0,18.0,1.0
224,3631820,30.851459980010986,0.0010357413259284333,0.03357416446248867,76.48850172506184,30.253666666666664,288.75,3.398374529125965e-05,1.3686741131456142e-05,0.0001334348337256386,0.0001811053201483614,2.0,1.0,770.0,2.0,813527680.0,19.0,1.0
123,3856346,30.678966363271076,0.0010013347610751666,0.032642581722185766,74.14531008543928,30.379333333333335,288.75,2.003047649890417e-05,8.033868985004167e-06,7.589482821575729e-05,0.00010395917369966874,2.0,1.0,770.0,2.0,474330558.0,32.0,1.0
320,1108976,30.605281432469685,0.0009748912687234001,0.03185370547881183,74.11408507680873,30.651666666666667,288.75,1.4874268339972094e-05,5.989451156971318e-06,5.4458174092131e-05,7.532189358907752e-05,2.0,1.0,770.0,2.0,354872320.0,43.0,1.0
310,4171701,30.949786345163982,0.0010387843552482,0.03358970713838457,48.90641762298839,30.399333333333335,288.75,5.1844560568085684e-05,2.188405674200256e-05,0.0002066179029839844,0.00028034652029408077,2.0,1.0,770.0,2.0,1293227310.0,12.333333333333334,1.0
194,1200198,30.280364751815796,0.0010177368816317667,0.033604406860191637,74.75965477556635,30.58666666666667,288.75,9.854664136461979e-06,3.989530071379912e-06,3.8708694460701906e-05,5.2552888668544325e-05,2.0,1.0,770.0,2.0,232838412.0,64.33333333333333,1.0
395,1568765,30.860286553700764,0.001035995198694,0.033573055397867396,74.88265006263724,30.370666666666665,288.75,2.5803313783373332e-05,1.0702644075219999e-05,0.00010116782269875068,0.00013767378055734667,2.0,1.0,770.0,2.0,619662175.0,25.0,1.0
82,456053,30.07082239786784,0.0009639741627893999,0.032056793349432296,75.23013288760741,30.476333333333333,288.75,1.5362111544862266e-06,6.213849299242053e-07,5.672653229525916e-06,7.830249313936755e-06,2.0,1.0,770.0,2.0,37396346.0,409.0,1.0
402,1737469,30.589012225468952,0.0010288953459530001,0.03363639749756344,90.6024313567911,30.41633333333333,288.75,2.9066322625933333e-05,1.2118813701893939e-05,0.00011419018018576666,0.00015537531651359696,2.0,1.0,770.0,2.0,698462538.0,22.0,1.0
359,1244254,30.59670313199361,0.0009978589345332666,0.032613336965141064,73.66530955440183,30.30633333333334,288.75,1.8817509133514705e-05,7.5828252169303925e-06,7.110395864674705e-05,9.750429299719411e-05,2.0,1.0,770.0,2.0,446687186.0,34.0,1.0
19,4133322,30.102346976598103,0.0009652917713697333,0.03206699476978026,75.40277431417165,30.456,288.75,3.2628772840663213e-06,1.3178117609e-06,1.203562912365475e-05,1.6616318168621933e-05,2.0,1.0,770.0,2.0,78533118.0,193.0,1.0
302,690030,30.25851821899414,0.0010166029637383,0.0335920744648163,74.92775454106626,30.614333333333335,288.75,8.703599038754357e-06,3.530438722807547e-06,3.423518758223329e-05,4.646922534379611e-05,2.0,1.0,770.0,2.0,208389060.0,72.66666666666667,1.0
68,3516711,30.216014623641968,0.0010132851530202335,0.03353357672145633,75.2453868262467,30.536666666666672,288.75,1.0020442149209522e-05,4.088252675569313e-06,3.9326160051571425e-05,5.3434854876352376e-05,2.0,1.0,770.0,2.0,239136348.0,63.0,1.0
220,4739587,30.376474380493164,0.00101546410420855,0.03341847409823215,363.4312307742903,30.698500000000003,288.75,4.2342610179613334e-05,1.8235900294146668e-05,0.00016433048270642666,0.00022490899318019334,2.0,1.0,770.0,2.0,1042709140.0,15.0,1.0
29,3789327,30.142356475194294,0.0009673795395007666,0.03209363687807774,75.3369176754144,30.899333333333335,288.75,4.601096300500487e-06,1.8873031241141119e-06,1.6970618920580048e-05,2.345901834519538e-05,2.0,1.0,770.0,2.0,109890483.0,137.0,1.0
140,325312,30.085272153218586,0.0009658053271289001,0.0321022657911963,75.2170008737808,30.794,288.75,1.8711172709774802e-06,7.640949906032738e-07,6.91435789275486e-06,9.549570154335914e-06,2.0,1.0,770.0,2.0,45543680.0,336.0,1.0
179,1476684,30.194663763046265,0.0009886202565964667,0.032738964129976365,74.87302525022187,30.378,288.75,1.106905887148304e-05,4.480714200206433e-06,4.207220376554386e-05,5.762197683723626e-05,2.0,1.0,770.0,2.0,264326436.0,57.0,1.0
180,1031091,30.18745692571004,0.0009890309627924,0.03275988264411377,74.07498583575959,30.53533333333333,288.75,7.755501731290028e-06,3.1363796717763724e-06,2.9500536395682783e-05,4.039241779875042e-05,2.0,1.0,770.0,2.0,185596380.0,81.33333333333333,1.0
375,4038119,32.30411680539449,0.0010353300946870333,0.032049180200145765,75.43586572359362,31.028333333333336,288.75,6.15108221631606e-05,2.5032350318936363e-05,0.00022615090625153033,0.00031269407873363335,2.0,1.0,770.0,2.0,1514294625.0,11.0,1.0
194,1300138,30.18447756767273,0.0009903867250270334,0.03280905710974363,75.35285092573959,30.737,288.75,1.0695659923437287e-05,4.351342276871187e-06,4.072115619977175e-05,5.5768158400083616e-05,2.0,1.0,770.0,2.0,252226772.0,59.0,1.0
242,91668,30.06743057568868,0.0009647376143111999,0.03208580043415776,75.59927379187899,30.227000000000004,288.75,8.96559503533191e-07,3.609519718882409e-07,3.3016753712262207e-06,4.559186846647843e-06,2.0,1.0,770.0,2.0,22183656.0,703.0,1.0
